ticket_id,created_at,category,priority,description,resolution_time_hours,satisfaction_score
1031,2025-03-04 14:51,Network_VPN,Medium,"Cannot connect to VPN, authentication failed error",6.2,4.9
1032,2025-03-04 08:59,Email,Low,"Mailbox full, can't send or receive email",10.0,3.3
1033,2025-03-04 13:57,Printer,Low,Print jobs stuck in queue and won't clear,5.3,2.3
1034,2025-03-04 14:18,Network_VPN,Low,Very slow network speeds on corporate Wi-Fi,7.3,3.4
1035,2025-03-04 10:03,Hardware,High,Laptop fan is extremely loud and it's overheating,20.5,3.8
1036,2025-03-04 14:32,Software,Low,Software freezes whenever I try to export a file,12.9,2.1
1037,2025-03-04 08:38,Email,Low,Emails to external clients are bouncing back,6.9,3.3
1038,2025-03-04 16:38,Network_VPN,Medium,"Cannot connect to VPN, authentication failed error",11.6,2.9
1039,2025-03-04 11:13,Network_VPN,Medium,VPN keeps disconnecting every few minutes,8.8,2.8
1040,2025-03-04 11:29,Software,Low,License activation error on design software,14.3,3.0
1041,2025-03-04 08:04,Account_Access,Low,Locked out of my account after password expired,4.5,2.8
1042,2025-03-04 10:23,Hardware,Medium,Laptop fan is extremely loud and it's overheating,68.8,3.3
1043,2025-03-04 17:33,Account_Access,High,Requesting elevated access to the deployment pipeline,2.4,4.4
1044,2025-03-05 09:16,Software,Low,Software freezes whenever I try to export a file,18.6,3.4
1045,2025-03-05 10:45,Network_VPN,High,VPN keeps disconnecting every few minutes,1.9,3.9
1046,2025-03-05 07:05,Account_Access,Medium,Forgot my password and self-service reset isn't working,3.1,4.9
1047,2025-03-05 11:10,Software,Low,License activation error on design software,13.3,2.2
1048,2025-03-05 18:57,Printer,Medium,Can't add the new printer to my laptop,3.3,4.9
1049,2025-03-05 09:02,Network_VPN,High,VPN keeps disconnecting every few minutes,4.2,3.7
1050,2025-03-05 08:22,Account_Access,High,Locked out of my account after password expired,1.1,3.9
1051,2025-03-05 10:55,Printer,High,Can't add the new printer to my laptop,3.3,4.9
1052,2025-03-06 12:50,Security,Critical,Think I clicked a phishing link by accident,0.5,4.6
1053,2025-03-06 07:54,Security,High,Think I clicked a phishing link by accident,2.7,3.7
1054,2025-03-06 10:14,Hardware,High,Battery drains fully within an hour,19.7,4.0
1055,2025-03-06 11:22,Network_VPN,Medium,"Cannot connect to VPN, authentication failed error",6.4,3.6
1056,2025-03-06 07:07,Software,Medium,Requesting install of project management tool,21.5,2.5
1057,2025-03-06 08:38,Email,Medium,Outlook stuck in offline mode,9.8,2.4
1058,2025-03-06 16:12,Hardware,Medium,Screen cracked after laptop bag fell,71.2,2.2
1059,2025-03-06 18:47,Account_Access,Low,Requesting elevated access to the deployment pipeline,5.7,2.8
1060,2025-03-06 12:39,Printer,Low,Print jobs stuck in queue and won't clear,3.1,4.5
1061,2025-03-06 13:20,Account_Access,High,Locked out of my account after password expired,1.3,4.0
1062,2025-03-06 13:43,Hardware,High,Screen cracked after laptop bag fell,10.5,4.5
1063,2025-03-06 07:19,Printer,Medium,Print jobs stuck in queue and won't clear,4.3,2.8
1064,2025-03-06 14:28,Account_Access,High,Requesting elevated access to the deployment pipeline,2.2,4.0
1065,2025-03-07 16:21,Hardware,High,Battery drains fully within an hour,13.6,4.5
1066,2025-03-07 07:02,Network_VPN,High,"Cannot connect to VPN, authentication failed error",2.2,3.8
1067,2025-03-07 17:36,Account_Access,Medium,Requesting elevated access to the deployment pipeline,5.1,2.7
1068,2025-03-07 07:57,Network_VPN,Medium,Very slow network speeds on corporate Wi-Fi,6.2,4.5
1069,2025-03-07 18:33,Printer,Medium,Printer on 3rd floor is offline,3.9,4.7
1070,2025-03-07 14:42,Hardware,Medium,Laptop fan is extremely loud and it's overheating,64.8,2.7
1071,2025-03-07 16:52,Hardware,High,Laptop fan is extremely loud and it's overheating,36.3,4.8
1072,2025-03-07 18:55,Printer,Medium,Can't add the new printer to my laptop,5.6,3.3
1073,2025-03-07 15:31,Hardware,High,Screen cracked after laptop bag fell,32.6,3.9
1074,2025-03-07 12:20,Software,Medium,License activation error on design software,19.4,2.4
1075,2025-03-07 18:13,Email,Low,"Mailbox full, can't send or receive email",5.2,4.5
1076,2025-03-07 13:24,Network_VPN,Medium,Very slow network speeds on corporate Wi-Fi,7.9,2.1
1077,2025-03-07 07:22,Email,High,"Mailbox full, can't send or receive email",4.4,4.1
1078,2025-03-07 18:47,Account_Access,High,Requesting elevated access to the deployment pipeline,3.1,4.1
1079,2025-03-08 13:21,Printer,Medium,Print jobs stuck in queue and won't clear,4.2,4.2
1080,2025-03-08 16:34,Software,Medium,Requesting install of project management tool,21.4,3.4
1081,2025-03-08 13:08,Network_VPN,Medium,Very slow network speeds on corporate Wi-Fi,9.4,2.1
1082,2025-03-08 12:21,Email,Low,Emails to external clients are bouncing back,6.1,2.3
1083,2025-03-09 15:03,Account_Access,Medium,Requesting elevated access to the deployment pipeline,2.5,3.5
1084,2025-03-09 07:48,Security,Medium,Antivirus is flagging a file I downloaded,2.4,4.9
1085,2025-03-09 09:30,Network_VPN,Medium,"Cannot connect to VPN, authentication failed error",4.5,3.7
1086,2025-03-10 16:38,Software,Medium,Application keeps crashing on launch,12.0,4.1
1087,2025-03-10 16:01,Security,Critical,Received a suspicious email asking for my password,0.7,4.0
1088,2025-03-10 18:53,Security,High,My laptop is acting strange after opening an attachment,2.5,3.6
1089,2025-03-10 08:50,Software,Medium,Need Adobe Acrobat installed for contract review,12.8,3.0
1090,2025-03-10 15:41,Security,High,Received a suspicious email asking for my password,1.7,4.1
1091,2025-03-10 17:57,Account_Access,High,Requesting elevated access to the deployment pipeline,0.8,4.9
1092,2025-03-10 11:39,Email,Medium,Emails to external clients are bouncing back,8.3,3.4
1093,2025-03-10 12:54,Printer,Medium,Can't add the new printer to my laptop,7.1,2.9
1094,2025-03-10 16:39,Account_Access,Medium,Locked out of my account after password expired,3.9,3.1
1095,2025-03-10 10:22,Software,Low,License activation error on design software,21.6,2.3
1096,2025-03-10 15:00,Printer,Low,Printer is printing blank pages,5.9,3.3
1097,2025-03-10 10:44,Hardware,Low,Battery drains fully within an hour,58.7,2.7
1098,2025-03-10 13:44,Hardware,Medium,Docking station won't detect external monitor,25.2,3.9
1099,2025-03-10 18:35,Account_Access,Medium,New hire needs accounts provisioned before start date,4.3,2.5
1100,2025-03-11 10:20,Account_Access,Medium,Requesting elevated access to the deployment pipeline,3.1,3.7
1101,2025-03-11 18:30,Network_VPN,Critical,VPN client won't launch after latest update,2.9,3.8
1102,2025-03-11 08:53,Account_Access,Critical,New hire needs accounts provisioned before start date,1.2,3.9
1103,2025-03-11 09:17,Network_VPN,Medium,"Cannot connect to VPN, authentication failed error",6.6,3.1
1104,2025-03-11 14:06,Network_VPN,Medium,VPN keeps disconnecting every few minutes,9.7,2.2
1105,2025-03-11 07:16,Email,Medium,Outlook stuck in offline mode,6.5,2.3
1106,2025-03-11 16:40,Security,Medium,My laptop is acting strange after opening an attachment,2.4,4.2
1107,2025-03-11 10:07,Software,Low,Application keeps crashing on launch,17.0,2.5
1108,2025-03-11 15:24,Software,Medium,Requesting install of project management tool,20.6,2.3
1109,2025-03-11 16:39,Hardware,Medium,Docking station won't detect external monitor,52.4,2.6
1110,2025-03-11 17:05,Network_VPN,Critical,VPN keeps disconnecting every few minutes,1.6,3.8
1111,2025-03-11 18:38,Network_VPN,Medium,"Cannot connect to VPN, authentication failed error",5.5,4.1
1112,2025-03-11 14:04,Hardware,Medium,Laptop won't power on at all,58.1,3.1
1113,2025-03-11 10:27,Software,High,License activation error on design software,8.2,4.5
1114,2025-03-11 08:03,Network_VPN,High,"Cannot connect to VPN, authentication failed error",6.0,4.7
1115,2025-03-11 14:07,Network_VPN,Medium,Wi-Fi drops constantly in the east building,10.6,3.4
1116,2025-03-11 14:28,Hardware,High,Screen cracked after laptop bag fell,36.1,4.3
1117,2025-03-11 07:05,Network_VPN,High,VPN keeps disconnecting every few minutes,5.0,4.4
1118,2025-03-12 07:48,Security,Critical,Received a suspicious email asking for my password,1.4,3.9
1119,2025-03-12 16:27,Printer,Medium,Can't add the new printer to my laptop,5.1,2.4
1120,2025-03-12 12:42,Software,Critical,Requesting install of project management tool,3.7,4.1
1121,2025-03-12 13:52,Network_VPN,Medium,"Cannot connect to VPN, authentication failed error",9.6,2.4
1122,2025-03-12 13:55,Printer,Medium,Printer on 3rd floor is offline,4.4,2.5
1123,2025-03-12 10:33,Hardware,High,Laptop won't power on at all,22.4,4.1
1124,2025-03-12 15:08,Account_Access,Medium,Requesting elevated access to the deployment pipeline,5.1,2.3
1125,2025-03-12 17:38,Security,Critical,My laptop is acting strange after opening an attachment,1.2,3.5
1126,2025-03-12 10:53,Printer,Low,Print jobs stuck in queue and won't clear,2.8,4.1
1127,2025-03-12 18:18,Email,Critical,Not receiving any emails since this morning,2.5,3.7
1128,2025-03-12 14:35,Hardware,Medium,Screen cracked after laptop bag fell,47.4,2.7
1129,2025-03-12 08:17,Network_VPN,Critical,"Cannot connect to VPN, authentication failed error",2.4,4.8
1130,2025-03-12 07:18,Printer,Low,Can't add the new printer to my laptop,6.9,2.4
1131,2025-03-12 12:35,Printer,High,Can't add the new printer to my laptop,2.2,4.2
1132,2025-03-12 18:15,Printer,Medium,Can't add the new printer to my laptop,4.4,2.3
1133,2025-03-13 13:24,Hardware,Low,Docking station won't detect external monitor,59.8,3.1
1134,2025-03-13 16:21,Security,High,Think I clicked a phishing link by accident,0.6,4.3
1135,2025-03-13 09:26,Email,Low,Not receiving any emails since this morning,9.4,2.0
1136,2025-03-13 16:44,Email,Low,Emails to external clients are bouncing back,8.6,2.4
1137,2025-03-13 13:20,Hardware,Critical,Laptop won't power on at all,18.5,4.8
1138,2025-03-13 17:43,Software,High,Requesting install of project management tool,1.4,3.6
1139,2025-03-13 17:45,Security,Critical,Think I clicked a phishing link by accident,1.1,3.6
1140,2025-03-13 12:50,Email,Medium,Not receiving any emails since this morning,5.6,2.0
1141,2025-03-13 16:43,Network_VPN,Medium,Wi-Fi drops constantly in the east building,5.4,4.3
1142,2025-03-13 17:15,Printer,Low,Print jobs stuck in queue and won't clear,5.9,2.6
1143,2025-03-13 11:42,Hardware,Medium,Laptop fan is extremely loud and it's overheating,46.4,2.4
1144,2025-03-13 14:22,Network_VPN,Critical,Very slow network speeds on corporate Wi-Fi,2.9,3.7
1145,2025-03-13 11:12,Security,High,Antivirus is flagging a file I downloaded,1.7,3.9
1146,2025-03-13 11:44,Security,Medium,My laptop is acting strange after opening an attachment,3.6,2.5
1147,2025-03-13 18:03,Account_Access,Medium,Requesting elevated access to the deployment pipeline,4.3,3.0
1148,2025-03-13 10:38,Email,High,Not receiving any emails since this morning,5.1,4.7
1149,2025-03-13 18:49,Printer,Medium,Print jobs stuck in queue and won't clear,6.0,3.0
1150,2025-03-13 11:50,Software,Medium,Application keeps crashing on launch,22.4,3.0
1151,2025-03-13 12:47,Hardware,Medium,Laptop fan is extremely loud and it's overheating,30.7,4.9
1152,2025-03-13 15:32,Hardware,Medium,Battery drains fully within an hour,50.1,3.5
1153,2025-03-13 11:47,Email,Medium,Emails to external clients are bouncing back,8.9,2.7
1154,2025-03-13 10:55,Email,Medium,"Mailbox full, can't send or receive email",4.2,4.6
1155,2025-03-13 13:00,Software,Critical,Requesting install of project management tool,5.6,4.0
1156,2025-03-13 16:24,Account_Access,Medium,Locked out of my account after password expired,4.7,3.0
1157,2025-03-13 15:20,Email,Low,Outlook stuck in offline mode,5.2,3.5
1158,2025-03-13 18:19,Email,High,Emails to external clients are bouncing back,3.9,4.2
1159,2025-03-14 08:06,Hardware,Low,Battery drains fully within an hour,26.2,5.0
1160,2025-03-14 18:44,Account_Access,Low,New hire needs accounts provisioned before start date,3.9,3.0
1161,2025-03-14 17:06,Security,High,My laptop is acting strange after opening an attachment,2.5,4.8
1162,2025-03-14 10:28,Email,Critical,Not receiving any emails since this morning,1.6,4.5
1163,2025-03-14 15:57,Hardware,Critical,Battery drains fully within an hour,5.7,4.5
1164,2025-03-14 14:05,Security,Medium,Antivirus is flagging a file I downloaded,3.2,5.0
1165,2025-03-14 09:50,Software,Critical,Software freezes whenever I try to export a file,1.3,4.0
1166,2025-03-14 10:21,Software,High,Need Adobe Acrobat installed for contract review,7.4,4.4
1167,2025-03-14 15:16,Printer,Low,Printer on 3rd floor is offline,7.9,3.5
1168,2025-03-14 10:37,Printer,Medium,Printer on 3rd floor is offline,2.9,3.5
1169,2025-03-14 08:47,Account_Access,Medium,Need access to the shared finance drive for a project,2.6,4.1
1170,2025-03-14 15:14,Network_VPN,High,Very slow network speeds on corporate Wi-Fi,3.8,3.7
1171,2025-03-14 11:29,Security,Critical,Received a suspicious email asking for my password,1.7,4.5
1172,2025-03-14 17:06,Software,Low,Need Adobe Acrobat installed for contract review,15.6,2.6
1173,2025-03-14 08:08,Hardware,Low,Docking station won't detect external monitor,28.2,4.4
1174,2025-03-14 15:18,Account_Access,Medium,New hire needs accounts provisioned before start date,3.4,3.5
1175,2025-03-14 17:41,Hardware,Medium,Laptop fan is extremely loud and it's overheating,62.2,2.2
1176,2025-03-14 14:25,Email,Medium,Emails to external clients are bouncing back,9.3,2.6
1177,2025-03-14 09:43,Hardware,Medium,Laptop won't power on at all,39.3,2.4
1178,2025-03-14 18:47,Security,Medium,Received a suspicious email asking for my password,2.5,4.1
1179,2025-03-14 12:42,Account_Access,Medium,Need access to the shared finance drive for a project,4.4,2.8
1180,2025-03-14 18:03,Network_VPN,High,Wi-Fi drops constantly in the east building,6.2,4.1
1181,2025-03-14 17:30,Security,High,Antivirus is flagging a file I downloaded,2.1,3.8
1182,2025-03-14 11:36,Account_Access,Medium,Locked out of my account after password expired,4.3,2.2
1183,2025-03-14 16:43,Account_Access,High,Requesting elevated access to the deployment pipeline,3.2,4.7
1184,2025-03-14 07:11,Software,Medium,Need Adobe Acrobat installed for contract review,18.5,3.0
1185,2025-03-14 09:36,Account_Access,High,Forgot my password and self-service reset isn't working,1.5,3.8
1186,2025-03-14 18:33,Software,Low,Need Adobe Acrobat installed for contract review,18.1,2.0
1187,2025-03-15 16:38,Account_Access,Medium,Requesting elevated access to the deployment pipeline,3.6,3.1
1188,2025-03-17 13:31,Network_VPN,Low,VPN client won't launch after latest update,4.9,4.2
1189,2025-03-17 13:07,Software,Low,Requesting install of project management tool,20.1,2.2
1190,2025-03-17 13:38,Account_Access,Medium,New hire needs accounts provisioned before start date,4.7,2.1
1191,2025-03-17 11:18,Network_VPN,Medium,"Cannot connect to VPN, authentication failed error",5.9,3.7
1192,2025-03-17 15:45,Account_Access,Medium,Locked out of my account after password expired,3.8,2.2
1193,2025-03-17 18:02,Account_Access,High,New hire needs accounts provisioned before start date,2.7,3.6
1194,2025-03-17 16:25,Hardware,Critical,Docking station won't detect external monitor,18.7,4.4
1195,2025-03-17 09:51,Software,Low,Requesting install of project management tool,14.4,3.4
1196,2025-03-17 08:15,Security,Critical,My laptop is acting strange after opening an attachment,1.8,3.6
1197,2025-03-17 12:14,Hardware,High,Docking station won't detect external monitor,17.5,4.0
1198,2025-03-17 10:57,Account_Access,Low,Need access to the shared finance drive for a project,4.6,2.8
1199,2025-03-18 16:09,Account_Access,Medium,Need access to the shared finance drive for a project,2.7,3.8
1200,2025-03-18 16:48,Printer,Low,Printer on 3rd floor is offline,6.8,2.7
1201,2025-03-18 17:20,Software,Medium,Software freezes whenever I try to export a file,23.8,2.5
1202,2025-03-18 16:03,Network_VPN,Medium,VPN keeps disconnecting every few minutes,9.2,3.2
1203,2025-03-18 11:04,Account_Access,Medium,Locked out of my account after password expired,3.9,2.1
1204,2025-03-18 15:50,Software,Medium,Need Adobe Acrobat installed for contract review,16.1,2.7
1205,2025-03-18 12:38,Printer,Low,Printer on 3rd floor is offline,7.0,3.0
1206,2025-03-18 12:45,Hardware,Critical,Battery drains fully within an hour,11.7,4.7
1207,2025-03-18 15:33,Network_VPN,Low,"Cannot connect to VPN, authentication failed error",9.7,3.5
1208,2025-03-18 12:43,Software,Medium,License activation error on design software,12.5,4.1
1209,2025-03-18 11:16,Software,Low,License activation error on design software,9.4,4.5
1210,2025-03-18 12:19,Printer,Low,Print jobs stuck in queue and won't clear,5.8,2.2
1211,2025-03-18 15:24,Security,Medium,My laptop is acting strange after opening an attachment,4.9,2.1
1212,2025-03-18 18:43,Software,High,License activation error on design software,8.7,4.7
1213,2025-03-18 12:19,Email,High,"Mailbox full, can't send or receive email",2.9,4.0
1214,2025-03-18 09:09,Network_VPN,Medium,"Cannot connect to VPN, authentication failed error",10.2,2.3
1215,2025-03-18 15:02,Network_VPN,Medium,VPN keeps disconnecting every few minutes,8.5,3.1
1216,2025-03-18 18:49,Software,Low,Software freezes whenever I try to export a file,14.0,2.2
1217,2025-03-18 18:15,Software,Medium,Application keeps crashing on launch,8.6,4.0
1218,2025-03-19 14:57,Software,Low,Requesting install of project management tool,11.8,4.9
1219,2025-03-19 11:49,Email,High,Outlook stuck in offline mode,3.6,4.2
1220,2025-03-19 16:08,Hardware,Medium,Laptop fan is extremely loud and it's overheating,32.1,3.8
1221,2025-03-19 08:45,Email,High,"Mailbox full, can't send or receive email",4.9,4.3
1222,2025-03-19 15:09,Email,Medium,"Mailbox full, can't send or receive email",8.5,2.4
1223,2025-03-19 12:59,Email,Critical,"Mailbox full, can't send or receive email",1.5,4.2
1224,2025-03-19 08:23,Network_VPN,Medium,VPN keeps disconnecting every few minutes,7.2,2.6
1225,2025-03-19 09:08,Account_Access,High,Forgot my password and self-service reset isn't working,2.8,4.5
1226,2025-03-19 14:39,Network_VPN,High,Very slow network speeds on corporate Wi-Fi,1.8,4.6
1227,2025-03-19 18:38,Network_VPN,Low,VPN keeps disconnecting every few minutes,6.0,3.7
1228,2025-03-19 10:26,Hardware,High,Laptop won't power on at all,12.1,3.7
1229,2025-03-19 16:34,Software,Medium,Software freezes whenever I try to export a file,9.7,4.9
1230,2025-03-19 07:39,Network_VPN,Medium,VPN client won't launch after latest update,9.8,2.4
1231,2025-03-19 12:04,Account_Access,Medium,New hire needs accounts provisioned before start date,4.7,2.1
1232,2025-03-19 12:16,Security,High,Received a suspicious email asking for my password,1.8,4.5
1233,2025-03-19 17:06,Printer,Medium,Printer is printing blank pages,4.6,3.1
1234,2025-03-19 17:11,Printer,Low,Printer is printing blank pages,4.6,2.5
1235,2025-03-19 09:04,Email,Critical,Not receiving any emails since this morning,2.1,3.8
1236,2025-03-19 07:20,Printer,Low,Can't add the new printer to my laptop,3.8,4.7
1237,2025-03-19 17:12,Security,Critical,My laptop is acting strange after opening an attachment,1.2,3.9
1238,2025-03-19 12:27,Account_Access,High,Locked out of my account after password expired,1.4,3.7
1239,2025-03-19 14:44,Email,High,Not receiving any emails since this morning,2.7,5.0
1240,2025-03-20 13:38,Account_Access,Medium,New hire needs accounts provisioned before start date,2.5,4.1
1241,2025-03-20 17:18,Security,High,Think I clicked a phishing link by accident,1.4,3.6
1242,2025-03-20 14:02,Account_Access,High,New hire needs accounts provisioned before start date,1.0,4.2
1243,2025-03-20 07:04,Printer,Medium,Printer is printing blank pages,5.0,3.0
1244,2025-03-20 07:09,Software,Medium,Requesting install of project management tool,20.8,3.0
1245,2025-03-20 12:23,Email,Low,Not receiving any emails since this morning,4.1,4.7
1246,2025-03-20 12:23,Hardware,Low,Laptop fan is extremely loud and it's overheating,31.7,4.2
1247,2025-03-20 17:17,Hardware,High,Laptop won't power on at all,22.0,4.1
1248,2025-03-20 15:07,Account_Access,Low,Locked out of my account after password expired,2.9,4.3
1249,2025-03-20 18:58,Account_Access,High,Forgot my password and self-service reset isn't working,1.1,4.4
1250,2025-03-20 18:28,Security,Medium,Think I clicked a phishing link by accident,5.4,2.7
1251,2025-03-20 11:57,Security,High,Antivirus is flagging a file I downloaded,2.5,4.3
1252,2025-03-20 12:32,Account_Access,High,Need access to the shared finance drive for a project,3.1,4.5
1253,2025-03-20 12:35,Account_Access,High,Need access to the shared finance drive for a project,1.2,4.2
1254,2025-03-20 08:04,Software,High,Requesting install of project management tool,7.3,4.4
1255,2025-03-20 08:08,Account_Access,Medium,Requesting elevated access to the deployment pipeline,5.1,3.2
1256,2025-03-20 15:40,Security,High,Received a suspicious email asking for my password,2.4,4.0
1257,2025-03-20 08:33,Software,Medium,Application keeps crashing on launch,22.6,2.1
1258,2025-03-20 15:57,Network_VPN,Medium,"Cannot connect to VPN, authentication failed error",11.5,2.3
1259,2025-03-20 09:40,Account_Access,Medium,Locked out of my account after password expired,4.6,2.8
1260,2025-03-20 16:09,Account_Access,Low,New hire needs accounts provisioned before start date,4.6,2.9
1261,2025-03-20 16:02,Network_VPN,High,VPN client won't launch after latest update,4.3,4.8
1262,2025-03-20 11:41,Email,Low,"Mailbox full, can't send or receive email",9.7,3.2
1263,2025-03-21 15:18,Printer,Medium,Can't add the new printer to my laptop,2.9,4.8
1264,2025-03-21 11:29,Software,Medium,License activation error on design software,20.9,3.0
1265,2025-03-21 12:38,Network_VPN,Medium,VPN keeps disconnecting every few minutes,7.5,2.7
1266,2025-03-21 09:48,Network_VPN,High,Wi-Fi drops constantly in the east building,5.7,5.0
1267,2025-03-21 14:15,Account_Access,Low,New hire needs accounts provisioned before start date,3.1,3.7
1268,2025-03-21 10:55,Network_VPN,Medium,VPN keeps disconnecting every few minutes,7.3,2.9
1269,2025-03-21 09:31,Email,Critical,Outlook stuck in offline mode,2.6,3.8
1270,2025-03-21 13:32,Security,High,My laptop is acting strange after opening an attachment,1.3,3.5
1271,2025-03-21 14:38,Hardware,Medium,Battery drains fully within an hour,41.2,2.1
1272,2025-03-21 09:56,Email,Medium,Not receiving any emails since this morning,3.8,3.7
1273,2025-03-21 16:35,Account_Access,High,Forgot my password and self-service reset isn't working,1.5,4.1
1274,2025-03-21 15:17,Network_VPN,Medium,VPN client won't launch after latest update,7.3,2.7
1275,2025-03-21 12:35,Email,Low,"Mailbox full, can't send or receive email",4.3,4.1
1276,2025-03-21 07:02,Security,Medium,Think I clicked a phishing link by accident,4.1,2.8
1277,2025-03-22 09:20,Printer,Medium,Can't add the new printer to my laptop,3.5,4.8
1278,2025-03-23 12:32,Account_Access,Critical,Requesting elevated access to the deployment pipeline,1.5,3.9
1279,2025-03-23 12:21,Email,High,Not receiving any emails since this morning,2.3,4.7
1280,2025-03-23 18:40,Software,Medium,Requesting install of project management tool,20.7,3.1
1281,2025-03-23 16:36,Network_VPN,Medium,Very slow network speeds on corporate Wi-Fi,9.3,3.5
1282,2025-03-24 13:09,Printer,Low,Can't add the new printer to my laptop,6.1,2.9
1283,2025-03-24 07:28,Email,Low,Emails to external clients are bouncing back,9.7,2.2
1284,2025-03-24 16:58,Account_Access,Medium,Need access to the shared finance drive for a project,2.9,4.3
1285,2025-03-24 17:30,Hardware,High,Laptop won't power on at all,21.6,4.3
1286,2025-03-24 15:22,Hardware,Critical,Screen cracked after laptop bag fell,11.8,4.3
1287,2025-03-24 15:19,Software,Medium,License activation error on design software,11.0,3.9
1288,2025-03-24 14:20,Account_Access,High,Forgot my password and self-service reset isn't working,2.4,4.5
1289,2025-03-24 08:36,Hardware,Critical,Laptop fan is extremely loud and it's overheating,17.5,3.9
1290,2025-03-24 09:18,Software,High,Requesting install of project management tool,5.5,4.0
1291,2025-03-24 14:13,Network_VPN,Medium,VPN keeps disconnecting every few minutes,7.7,2.4
1292,2025-03-24 08:39,Account_Access,Medium,New hire needs accounts provisioned before start date,4.3,2.4
1293,2025-03-24 17:14,Printer,Low,Print jobs stuck in queue and won't clear,6.3,2.8
1294,2025-03-24 09:00,Network_VPN,Medium,Very slow network speeds on corporate Wi-Fi,7.9,3.0
1295,2025-03-24 14:41,Security,High,Think I clicked a phishing link by accident,3.1,4.8
1296,2025-03-24 08:41,Network_VPN,Medium,Wi-Fi drops constantly in the east building,9.3,3.4
1297,2025-03-24 09:26,Software,Medium,Software freezes whenever I try to export a file,21.6,2.1
1298,2025-03-24 14:11,Email,Critical,Emails to external clients are bouncing back,1.1,4.8
1299,2025-03-24 08:59,Security,Critical,Antivirus is flagging a file I downloaded,0.5,4.4
1300,2025-03-24 09:54,Security,High,Antivirus is flagging a file I downloaded,2.3,4.3
1301,2025-03-25 17:16,Hardware,High,Battery drains fully within an hour,15.2,4.6
1302,2025-03-25 10:11,Printer,Medium,Printer on 3rd floor is offline,6.9,2.9
1303,2025-03-25 17:06,Software,High,Requesting install of project management tool,6.9,3.6
1304,2025-03-25 13:15,Network_VPN,Medium,"Cannot connect to VPN, authentication failed error",11.5,2.0
1305,2025-03-25 07:16,Hardware,Critical,Screen cracked after laptop bag fell,9.1,4.6
1306,2025-03-25 13:43,Software,Low,Application keeps crashing on launch,9.8,4.0
1307,2025-03-25 12:39,Hardware,High,Screen cracked after laptop bag fell,25.7,4.9
1308,2025-03-25 12:26,Account_Access,Medium,Need access to the shared finance drive for a project,3.9,3.5
1309,2025-03-25 10:43,Software,High,Requesting install of project management tool,10.2,4.7
